title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production company,Distributed by,Release date,Running time,Country,Language,Budget,Box office,Production companies,Languages,Countries,Story by,Written by,Created by,Original work,Owned by,Narration by,Narrated by,Color process,Years,Suggested by
Amélie,Jean-Pierre Jeunet,"['Jean-Marc Deschamps', 'Claudie Ossard']",Guillaume Laurant,Incendies by Wajdi Mouawad,"['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus', 'Lorella Cravotta', 'Serge Merlin', 'Jamel Debbouze', 'Claire Maurier', 'Clotilde Mollet', 'Isabelle Nanty', 'Dominique Pinon', 'Artus de Penguern', 'Yolande Moreau', 'Urbain Cancelier', 'Maurice Bénichou']",Yann Tiersen,Bruno Delbonnel,Hervé Schneid,micro_scope,"['UGC-Fox Distribution (France)', 'Prokino Filmverleih (Germany)']","['25 April 2001 ( 2001-04-25 ) (France)', '16 August 2001 ( 2001-08-16 ) (Germany)']",123 minutes,United States,French,$10 million,$174.2 million,"['Claudie Ossard Productions', 'UGC', 'Victoires Productions', 'Tapioca Films', 'France 3 Cinéma', 'MMC Independent', 'Sofica Sofinergie 5', 'Filmstiftung', 'Canal+', 'France 3 Cinéma']",Arabic  French,"['France [2]', 'Germany [3]']","['Guillaume Laurant', 'Jean-Pierre Jeunet']",David S. Ward,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,Technicolor,,
The Apartment,Billy Wilder,Billy Wilder,Guillaume Laurant,Incendies by Wajdi Mouawad,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Jack Kruschen']",Adolph Deutsch,Joseph LaShelle,Daniel Mandell,The Mirisch Company,United Artists,"['June 30, 1960 ( 1960-06-30 )']",125 minutes,United States,English,$3 million,$24.6 million,"['Claudie Ossard Productions', 'UGC', 'Victoires Productions', 'Tapioca Films', 'France 3 Cinéma', 'MMC Independent', 'Sofica Sofinergie 5', 'Filmstiftung', 'Canal+', 'France 3 Cinéma']",Arabic  French,"['France [2]', 'Germany [3]']","['Guillaume Laurant', 'Jean-Pierre Jeunet']","['Billy Wilder', 'I. A. L. Diamond']",George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,Technicolor,,
For a Few Dollars More,Sergio Leone,Alberto Grimaldi,Luciano Vincenzoni Sergio Leone Sergio Donati (uncredited),Incendies by Wajdi Mouawad,"['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volonté', 'Mara Krup', 'Luigi Pistilli', 'Klaus Kinski', 'Josef Egger', 'Panos Papadopulos', 'Benito Stefanelli', 'Robert Camardiel', 'Aldo Sambrell', 'Luis Rodríguez', 'Mario Brega']",Ennio Morricone,Massimo Dallamano,"['Eugenio Alabiso', 'Giorgio Serrallonga', 'Adriana Novelli (sup)']",The Mirisch Company,PEA (Italy) United Artists (US & UK),['30 December 1965 ( 1965-12-30 ) (Italy)'],132 minutes,United States,English,"$600,000",$5 million (Italy)  272 million pesetas (Spain)  $15 million (United States and Canada),Produzioni Europee Associati (PEA) Arturo González Producciones Cinematográficas Constantin Film,Italian English,Italy West Germany Spain,"['Sergio Leone', 'Fulvio Morsella']","['Billy Wilder', 'I. A. L. Diamond']",George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,Technicolor,,
Double Indemnity,Billy Wilder,Joseph Sistrom,"['Billy Wilder', 'Raymond Chandler']",Double Indemnity by James M. Cain,"['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson', 'Porter Hall', 'Jean Heather', 'Byron Barr', 'Richard Gaines', 'John Philliber']",Miklós Rózsa,John Seitz,Doane Harrison,Paramount Pictures,Paramount Pictures,"['July 3, 1944 ( 1944-07-03 ) (United States)']",107 minutes,United States,English,"$980,000",$5 million,Produzioni Europee Associati (PEA) Arturo González Producciones Cinematográficas Constantin Film,Italian English,Italy West Germany Spain,"['Sergio Leone', 'Fulvio Morsella']","['Billy Wilder', 'I. A. L. Diamond']",George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,Technicolor,,
Indiana Jones and the Last Crusade,Steven Spielberg,Robert Watts,Jeffrey Boam,"['George Lucas', 'Philip Kaufman']","['Harrison Ford', 'Denholm Elliott', 'Alison Doody', 'John Rhys-Davies', 'Julian Glover', 'Sean Connery']",John Williams,Douglas Slocombe,Michael Kahn,Lucasfilm Ltd.,Paramount Pictures,"['May 24, 1989 ( 1989-05-24 ) (United States)']",128 minutes,United States,English,$48 million,$474.3 million,Produzioni Europee Associati (PEA) Arturo González Producciones Cinematográficas Constantin Film,English German,Italy West Germany Spain,"['George Lucas', 'Menno Meyjes']","['Billy Wilder', 'I. A. L. Diamond']",George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,Technicolor,,
Die Hard,John McTiernan,"['Lawrence Gordon', 'Joel Silver']","['Jeb Stuart', 'Steven E. de Souza']",Nothing Lasts Forever by Roderick Thorp,"['Bruce Willis', 'Alan Rickman', 'Alexander Godunov', 'Bonnie Bedelia']",Michael Kamen,Jan de Bont,"['Frank J. Urioste', 'John F. Link']",Lucasfilm Ltd.,20th Century Fox,"['July 15, 1988 ( 1988-07-15 )']",132 minutes,United States,English,$25–35 million,$139.8–141.5 million,"['Gordon Company', 'Silver Pictures']",English German,Italy West Germany Spain,"['George Lucas', 'Menno Meyjes']","['Billy Wilder', 'I. A. L. Diamond']",George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,Technicolor,,
Monty Python and the Holy Grail,"['Terry Gilliam', 'Terry Jones']","['Mark Forstater', 'Michael White']","['Jeb Stuart', 'Steven E. de Souza']",Nothing Lasts Forever by Roderick Thorp,"['Graham Chapman', 'John Cleese', 'Terry Gilliam', 'Eric Idle', 'Terry Jones', 'Michael Palin']","['Dewolfe', 'Neil Innes']",Terry Bedford,John Hackney,Lucasfilm Ltd.,EMI Films,"['April 3, 1975 ( 1975-04-03 ) (United Kingdom)', 'April 27, 1975 ( 1975-04-27 ) (United States)']",92 minutes,United Kingdom,English,"$400,000",$5 million,"['Python (Monty) Pictures', 'Michael White Productions', 'National Film Trustee Company']",English German,Italy West Germany Spain,"['George Lucas', 'Menno Meyjes']",Monty Python,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,Technicolor,,
Yojimbo,Akira Kurosawa,"['Tomoyuki Tanaka', 'Ryūzō Kikushima', 'Akira Kurosawa [1]']","['Ryūzō Kikushima', 'Akira Kurosawa', 'Hideo Oguni [1]']",Nothing Lasts Forever by Roderick Thorp,"['Toshiro Mifune', 'Tatsuya Nakadai', 'Yoko Tsukasa', 'Isuzu Yamada', 'Daisuke Katō', 'Takashi Shimura', 'Kamatari Fujiwara', 'Atsushi Watanabe']",Masaru Sato,Kazuo Miyagawa,Akira Kurosawa,Lucasfilm Ltd.,Toho,['25 April 1961 ( 1961-04-25 ) (Japan)'],110 minutes,Japan,Japanese,"$400,000",$2.5 million ( est. ),"['Kurosawa Production', 'Toho']",English German,Italy West Germany Spain,Akira Kurosawa,Monty Python,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,Technicolor,,
Batman Begins,Christopher Nolan,"['Charles Roven', 'Emma Thomas', 'Larry Franco']","['Christopher Nolan', 'David S. Goyer']",Characters appearing in comic books published by DC Comics,"['Christian Bale', 'Michael Caine', 'Liam Neeson', 'Katie Holmes', 'Gary Oldman', 'Cillian Murphy', 'Tom Wilkinson', 'Rutger Hauer', 'Ken Watanabe', 'Morgan Freeman']","['Hans Zimmer', 'James Newton Howard']",Wally Pfister,Lee Smith,Lucasfilm Ltd.,Warner Bros. Pictures,"['May 31, 2005 ( 2005-05-31 ) (Tokyo)', 'June 15, 2005 ( 2005-06-15 ) (United States)', 'June 17, 2005 ( 2005-06-17 ) (United Kingdom)']",140 minutes,Japan,English,$150 million,$373.6 million,"['Warner Bros. Pictures', 'DC Comics', 'Legendary Pictures', 'Syncopy', 'Patalex III Productions']",English German,"['United States [2]', 'United Kingdom [2]']",David S. Goyer,Monty Python,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,Technicolor,,
Rashomon,Akira Kurosawa,Minoru Jingo,"['Akira Kurosawa', 'Shinobu Hashimoto']",""" In a Grove "" by Ryūnosuke Akutagawa","['Toshiro Mifune', 'Machiko Kyō', 'Masayuki Mori', 'Takashi Shimura', 'Minoru Chiaki']",Fumio Hayasaka,Kazuo Miyagawa,Akira Kurosawa,Daiei Film,Daiei Film,"['August 25, 1950 ( 1950-08-25 )']",88 minutes,Japan,Japanese,"$250,000","$96,568 (US)","['Warner Bros. Pictures', 'DC Comics', 'Legendary Pictures', 'Syncopy', 'Patalex III Productions']",English German,"['United States [2]', 'United Kingdom [2]']",David S. Goyer,Monty Python,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,Technicolor,,
Children of Heaven,Majid Majidi,"['Amir Esfandiari', 'Mohammad Esfandiari']",Bernd Eichinger,"[""Inside Hitler's Bunker by Joachim Fest"", 'Until the Final Hour by Traudl Junge Melissa Müller', 'Traudl Junge', 'Melissa Müller']","['Mohammad Amir Naji', 'Amir Farrokh Hashemian', 'Bahare Seddiqi']",Keivan Jahanshahi,Parviz Malekzaade,Hassan Hassandoost,The Institute for the Intellectual Development of Children & Young Adults,Miramax Films,['February 1997 ( 1997-02 ) ( Fajr Film Festival )'],89 minutes,Iran,Persian,"US $180,000",US$1.6 million,"['Warner Bros. Pictures', 'DC Comics', 'Legendary Pictures', 'Syncopy', 'Patalex III Productions']",English German,Germany Italy Austria,David S. Goyer,Majid Majidi,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,Technicolor,,
Unforgiven,Clint Eastwood,Clint Eastwood,Bernd Eichinger,"[""Inside Hitler's Bunker by Joachim Fest"", 'Until the Final Hour by Traudl Junge Melissa Müller', 'Traudl Junge', 'Melissa Müller']","['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman', 'Richard Harris']",Lennie Niehaus,Jack N. Green,Joel Cox,Malpaso Productions,Warner Bros.,"['August 3, 1992 ( 1992-08-03 ) ( Mann Bruin Theater )', 'August 7, 1992 ( 1992-08-07 ) (United States)']",131 minutes,United States,English,$14.4 million,$159.2 million,"['Warner Bros. Pictures', 'DC Comics', 'Legendary Pictures', 'Syncopy', 'Patalex III Productions']",English German,Germany Italy Austria,David S. Goyer,David Webb Peoples,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,Technicolor,,
Some Like It Hot,Billy Wilder,Billy Wilder,Billy Wilder I. A. L. Diamond,"[""Inside Hitler's Bunker by Joachim Fest"", 'Until the Final Hour by Traudl Junge Melissa Müller', 'Traudl Junge', 'Melissa Müller']",Marilyn Monroe Tony Curtis Jack Lemmon George Raft Joe E. Brown Pat O'Brien,Adolph Deutsch,Charles Lang,Arthur P. Schmidt,Mirisch Company,United Artists,"['March 29, 1959 ( 1959-03-29 )']",121 minutes,United States,English,$2.9 million,$159.2 million,"['Warner Bros. Pictures', 'DC Comics', 'Legendary Pictures', 'Syncopy', 'Patalex III Productions']",English German,Germany Italy Austria,Robert Thoeren Michael Logan,David Webb Peoples,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,Technicolor,,
All About Eve,Joseph L. Mankiewicz,Darryl F. Zanuck,Joseph L. Mankiewicz,""" The Wisdom of Eve "" by Mary Orr","['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm']",Alfred Newman,Milton R. Krasner,Barbara McLean,20th Century Fox,20th Century Fox,"['October 13, 1950 ( 1950-10-13 )']",138 minutes,United States,English,$1.4 million,$8.4 million,"['Warner Bros. Pictures', 'DC Comics', 'Legendary Pictures', 'Syncopy', 'Patalex III Productions']",English German,Germany Italy Austria,Robert Thoeren Michael Logan,David Webb Peoples,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Samuel L. Jackson,Technicolor,,
Pan's Labyrinth,Guillermo del Toro,"['Guillermo del Toro', 'Bertha Navarro', 'Alfonso Cuarón', 'Frida Torresblanco', 'Álvaro Augustin']",Joseph L. Mankiewicz,""" The Wisdom of Eve "" by Mary Orr","['Sergi López', 'Maribel Verdú', 'Ivana Baquero', 'Doug Jones', 'Ariadna Gil', 'Álex Angulo']",Javier Navarrete,Guillermo Navarro,Bernat Vilaplana,20th Century Fox,Warner Bros. Pictures,"['27 May 2006 ( 2006-05-27 ) ( Cannes )', '11 October 2006 ( 2006-10-11 ) (Spain)', '20 October 2006 ( 2006-10-20 ) (Mexico)']",119 minutes,United States,Spanish,$19 million,$83.9 million,"['Telecinco Cinema', 'Estudios Picasso', 'Tequila Gang', 'Esperanto Filmoj', 'Sententia Entertainment']",English German,"['Spain', 'Mexico [2]']",Robert Thoeren Michael Logan,Guillermo del Toro,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Pablo Adán,Technicolor,,
There Will Be Blood,Paul Thomas Anderson,"['JoAnne Sellar', 'Paul Thomas Anderson', 'Daniel Lupi']",Paul Thomas Anderson,Oil! by Upton Sinclair,"['Daniel Day-Lewis', 'Paul Dano', ""Kevin J. O'Connor"", 'Ciarán Hinds', 'Dillon Freasier']",Jonny Greenwood,Robert Elswit,Dylan Tichenor,20th Century Fox,"['Paramount Vantage (United States) [2]', 'Miramax Films (International) [3]']","['September 27, 2007 ( 2007-09-27 ) ( Fantastic Fest )', 'December 26, 2007 ( 2007-12-26 ) (United States)']",158 minutes,United States,English,$25 million,$76.2 million,Ghoulardi Film Company Scott Rudin Productions,English German,"['Spain', 'Mexico [2]']",Robert Thoeren Michael Logan,Guillermo del Toro,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Pablo Adán,Technicolor,,
"Lock, Stock and Two Smoking Barrels",Guy Ritchie,Matthew Vaughn,Paul Thomas Anderson,Oil! by Upton Sinclair,"['Jason Flemyng', 'Dexter Fletcher', 'Nick Moran', 'Jason Statham', 'Steven Mackintosh', 'Vinnie Jones', 'Sting']","['David A. Hughes', 'John Murphy']",Tim Maurice-Jones,Niven Howie,20th Century Fox,PolyGram Filmed Entertainment (UK) Gramercy Pictures (US) Sony Pictures Releasing (International),['28 August 1998 ( 1998-08-28 )'],106 minutes,United States,English,"['£ 800,000', '( $ 1.40 million)']",$28.1 million,"['HandMade Films', 'SKA Films', 'The Steve Tisch Company', 'Summit Entertainment', 'Columbia TriStar Pictures']",English German,"['United Kingdom [2] [3] [4]', 'United States [2]']",Robert Thoeren Michael Logan,Guy Ritchie,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Alan Ford,Technicolor,,
Judgment at Nuremberg,Stanley Kramer,Stanley Kramer,Abby Mann,Judgment at Nuremberg 1959 Playhouse 90 by Abby Mann,"['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark', 'Marlene Dietrich', 'Judy Garland', 'Maximilian Schell', 'William Shatner', 'Montgomery Clift', 'Werner Klemperer']",Ernest Gold,Ernest Laszlo,Frederic Knudtson,20th Century Fox,United Artists,"['December 14, 1961 ( 1961-12-14 ) ( Kongresshalle , Berlin ) [2]', 'December 19, 1961 ( 1961-12-19 ) (USA)']",179 minutes,United States,English,$3 million,$10 million,Roxlom Films Amber Entertainment,English German,"['United Kingdom [2] [3] [4]', 'United States [2]']",Robert Thoeren Michael Logan,Guy Ritchie,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Alan Ford,Technicolor,,
Raging Bull,Martin Scorsese,"['Irwin Winkler', 'Robert Chartoff']","['Paul Schrader', 'Mardik Martin']",Raging Bull: My Story by Jake LaMotta Joseph Carter Peter Savage,"['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci']",Ernest Gold,Michael Chapman,Thelma Schoonmaker,20th Century Fox,United Artists,"['November 14, 1980 ( 1980-11-14 ) (New York City)', 'December 19, 1980 ( 1980-12-19 ) (United States)']",129 minutes,United States,English,$18 million,$23.4 million,Roxlom Films Amber Entertainment,English German,"['United Kingdom [2] [3] [4]', 'United States [2]']",Robert Thoeren Michael Logan,Guy Ritchie,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Alan Ford,Technicolor,,
Dial M for Murder,Alfred Hitchcock,Alfred Hitchcock,Frederick Knott,Dial M for Murder by Frederick Knott,Ray Milland Grace Kelly Robert Cummings John Williams,Dimitri Tiomkin,Robert Burks,Rudi Fehr,20th Century Fox,Warner Bros.,"['May 18, 1954 ( 1954-05-18 ) (Philadelphia) [1]', 'May 29, 1954 ( 1954-05-29 ) (US)']",105 minutes,United States,English,$1.4 million,$6 million,Roxlom Films Amber Entertainment,English German,"['United Kingdom [2] [3] [4]', 'United States [2]']",Robert Thoeren Michael Logan,Guy Ritchie,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Alan Ford,Technicolor,,
The Gold Rush,Charlie Chaplin,Charlie Chaplin,Frederick Knott,Dial M for Murder by Frederick Knott,Charlie Chaplin Georgia Hale Mack Swain Tom Murray Malcolm Waite,"['Charlie Chaplin', 'Carli Elinor', 'Max Terr', 'James L. Fields']",Roland Totheroh,Charlie Chaplin,20th Century Fox,United Artists,"['June 26, 1925 ( 1925-06-26 )']",95 minutes (original) 72 minutes (24 fps) (1942 re-release),United States,English,"$923,000",$2.5 million (US/Canada)  $4 million (worldwide),"['Fox Searchlight Pictures [1]', 'Film4 Productions [1]', 'Blueprint Pictures [1]', 'Cutting Edge Group [1]']",Silent film English intertitles,"['United States', 'United Kingdom']",Robert Thoeren Michael Logan,Charlie Chaplin,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Alan Ford,Technicolor,,
The Sixth Sense,M. Night Shyamalan,"['Frank Marshall', 'Kathleen Kennedy', 'Barry Mendel']",Ingmar Bergman,Trämålning by Ingmar Bergman (play),"['Bruce Willis', 'Toni Collette', 'Olivia Williams', 'Haley Joel Osment']",James Newton Howard,Tak Fujimoto,Andrew Mondshein,20th Century Fox,Buena Vista Pictures Distribution,"['August 2, 1999 ( 1999-08-02 ) ( Prince Music Theater )', 'August 6, 1999 ( 1999-08-06 ) (United States)']",107 minutes,United States,English,$40 million,$672.8 million,"['Hollywood Pictures', 'Spyglass Entertainment', 'The Kennedy/Marshall Company', 'Barry Mendel Productions']","['Swedish', 'Latin']","['United States', 'United Kingdom']",Robert Thoeren Michael Logan,M. Night Shyamalan,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,Alan Ford,Technicolor,,
The Truman Show,Peter Weir,"['Scott Rudin', 'Andrew Niccol', 'Edward S. Feldman', 'Adam Schroeder']",Ingmar Bergman,Trämålning by Ingmar Bergman (play),"['Jim Carrey', 'Laura Linney', 'Noah Emmerich', 'Natascha McElhone', 'Holland Taylor', 'Ed Harris']","['Burkhard Dallwitz', 'Philip Glass', 'Wojciech Kilar']",Peter Biziou,"['William Anderson', 'Lee Smith']",Scott Rudin Productions,Paramount Pictures,"['June 1, 1998 ( 1998-06-01 ) (Los Angeles)', 'June 5, 1998 ( 1998-06-05 ) (United States)']",103 minutes,United States,English,$60 million,$264.1 million,"['Hollywood Pictures', 'Spyglass Entertainment', 'The Kennedy/Marshall Company', 'Barry Mendel Productions']","['Swedish', 'Latin']","['United States', 'United Kingdom']",Robert Thoeren Michael Logan,Andrew Niccol,Michael Crichton,Jurassic Park (1990),Universal Pictures Amblin Entertainment,Michael Herr,Alan Ford,Technicolor,1990–present,
Finding Nemo,Andrew Stanton,Graham Walters,"['Andrew Stanton', 'Bob Peterson', 'David Reynolds']",Trämålning by Ingmar Bergman (play),"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe']",Thomas Newman,"['Sharon Calahan', 'Jeremy Lasky']",David Ian Salter,Scott Rudin Productions,Buena Vista Pictures Distribution,"['May 30, 2003 ( 2003-05-30 )']",100 minutes,United States,English,$94 million,$940.3 million,"['Walt Disney Pictures', 'Pixar Animation Studios']","['Swedish', 'Latin']","['United States', 'United Kingdom']",Andrew Stanton,Andrew Niccol,Michael Crichton,Jurassic Park (1990),Universal Pictures Amblin Entertainment,Michael Herr,Alan Ford,Technicolor,1990–present,
Wild Strawberries,Ingmar Bergman,Allan Ekelund,"['Andrew Stanton', 'Bob Peterson', 'David Reynolds']",Trämålning by Ingmar Bergman (play),Victor Sjöström Bibi Andersson Ingrid Thulin Gunnar Björnstrand,Erik Nordgren,Gunnar Fischer,Oscar Rosander,Scott Rudin Productions,AB Svensk Filmindustri,['26 December 1957 ( 1957-12-26 ) (Sweden)'],91 minutes,Sweden,Swedish,$94 million,$940.3 million,"['Walt Disney Pictures', 'Pixar Animation Studios']","['Swedish', 'Latin']","['United States', 'United Kingdom']",Andrew Stanton,Ingmar Bergman,Michael Crichton,Jurassic Park (1990),Universal Pictures Amblin Entertainment,Michael Herr,Alan Ford,Technicolor,1990–present,
